group_name,app_name,platform,country,language,create_datediff,orders
this,ms,android,Y,s,8-30day,21827
this,ms,ios,S,n,8-30day,21795
this,ms,android,R,o,1-7day,21722
base,ms,android,R,r,31-90day,21684
this,tv,android,O,s,>90day,21513
base,tv,android,H,h,>90day,21353
base,ms,android,N,a,31-90day,21306
this,ms,android,N,a,31-90day,21280
base,tv,android,H,n,31-90day,21149
base,ms,android,N,n,31-90day,21090
this,tv,android,D,n,1-7day,21079
this,tv,android,H,h,>90day,20866
this,ms,android,R,r,8-30day,20826
this,ms,android,N,n,31-90day,20762
this,ms,android,D,n,>90day,20746
this,ms,android,E,n,1-7day,20744
base,ms,android,D,n,>90day,20550
this,ms,android,N,n,31-90day,20233
this,ms,android,T,t,1-7day,20032
this,tv,android,H,n,31-90day,19857
this,ms,android,T,t,8-30day,19663
base,ms,android,S,s,0day,19639
base,ms,android,Y,s,1-7day,19621
this,tv,android,N,n,1-7day,19611
base,ms,android,N,n,31-90day,19563
base,ms,android,N,e,8-30day,19224
base,tv,android,N,i,31-90day,19216
base,tv,android,N,n,1-7day,19214
base,tv,android,R,r,>90day,18899
this,ms,android,N,e,8-30day,18899
base,ms,ios,S,n,31-90day,18885
this,ms,android,W,h,31-90day,18869
base,ms,android,E,d,>90day,18782
this,ms,android,W,n,>90day,18751
base,ms,android,R,o,8-30day,18582
this,tv,android,N,i,31-90day,18533
base,ms,android,W,n,>90day,18510
this,ms,android,E,d,>90day,18473
base,ms,android,E,r,31-90day,18298
this,ms,ios,U,u,>90day,18254
this,ms,android,R,o,31-90day,18194
base,ms,android,D,r,>90day,18162
this,tv,android,R,r,>90day,18116
base,si,android,D,n,>90day,18112
this,ms,android,D,r,>90day,17929
base,ems,android,H,h,0day,17702
this,tv,android,Y,s,>90day,17680
this,ems,android,N,i,31-90day,17638
this,ms,android,D,n,0day,17590
this,ms,android,U,z,>90day,17586
base,ms,ios,U,u,>90day,17561
this,ms,android,N,l,8-30day,17541
base,ms,android,R,r,0day,17449
this,ms,android,K,a,>90day,17436
base,tv,android,Y,s,>90day,17408
base,ms,android,S,s,1-7day,17394
base,ms,android,D,n,1-7day,17356
base,ms,android,R,s,8-30day,17348
base,ms,android,K,a,>90day,17133
this,ms,android,N,s,>90day,17092
this,tv,ios,E,r,>90day,17003
base,ms,android,T,t,1-7day,16905
this,ms,android,R,s,8-30day,16876
this,tv,android,N,l,>90day,16780
base,tv,android,E,r,31-90day,16742
base,tv,android,N,l,>90day,16724
this,ms,android,R,s,1-7day,16589
base,ms,android,D,r,>90day,16429
this,ms,android,Y,s,1-7day,16412
base,ms,android,N,s,>90day,16369
base,ms,android,U,z,>90day,16257
this,ms,ios,U,u,1-7day,16247
base,tv,ios,E,r,>90day,16229
this,ms,android,N,n,8-30day,16224
this,ms,android,D,r,>90day,16213
base,ms,android,S,s,8-30day,15958
this,tv,android,Y,n,>90day,15950
this,ms,ios,S,n,31-90day,15918
base,ms,android,W,h,31-90day,15904
base,ms,android,E,i,>90day,15836
base,ms,android,R,o,31-90day,15746
base,tv,android,Y,n,>90day,15696
base,ems,android,N,i,8-30day,15628
base,tv,android,N,e,>90day,15484
this,ms,android,S,s,31-90day,15382
base,tv,android,N,a,>90day,15306
this,ms,android,D,n,1-7day,15288
base,tv,android,D,n,0day,15281
this,ms,android,E,i,>90day,15206
base,tv,android,D,n,31-90day,15193
base,ms,android,N,l,8-30day,15179
base,ms,android,D,d,>90day,15148
this,ms,android,K,n,8-30day,15128
this,ms,android,D,d,>90day,15023
base,ms,android,K,n,8-30day,14884
base,ms,android,W,h,8-30day,14859
this,ms,ios,W,h,>90day,14818
this,ms,android,Y,n,31-90day,14815
this,ms,android,S,s,8-30day,14814
this,ems,android,H,h,1-7day,14795
this,ms,android,N,a,8-30day,14787
this,tv,android,N,e,>90day,14772
this,tv,android,N,a,>90day,14752
this,ms,android,N,n,8-30day,14654
base,ms,android,R,s,1-7day,14555
this,si,android,D,n,>90day,14530
base,ms,android,S,s,31-90day,14491
this,ms,android,N,e,1-7day,14415
base,ms,android,Y,n,31-90day,14359
base,ms,android,D,n,0day,14296
base,ms,ios,S,n,8-30day,14277
base,ms,ios,W,h,>90day,14152
base,ms,android,N,n,8-30day,14135
base,ms,android,N,e,1-7day,14034
this,ms,android,P,a,>90day,13965
this,ms,android,N,u,>90day,13909
base,ms,android,N,a,8-30day,13849
base,ms,ios,N,i,0day,13571
base,ms,android,P,a,>90day,13489
base,ms,android,Y,s,0day,13389
base,tv,android,R,s,>90day,13368
base,ms,android,N,u,>90day,13357
